User Model: <class 'accounts.models.User'>
USERNAME_FIELD: email
Total users: 46
--------------------------------------------------
Email: tjmanyadza@gmail.com | Display Name: Tocky  Manyadzaa | Active: True | Staff: True | ID: 73f4743f-4874-4f45-b757-782b0bba9c82
Email: testuser1@gmail.com | Display Name: Delia Prosacco | Active: True | Staff: False | ID: 22da31a0-be98-4261-9c34-5985a09ad488
Email: testuser2@gmail.com | Display Name: Antwon Grimes | Active: True | Staff: False | ID: 185b367c-1c44-4ca1-91fd-17f4025f1700
Email: testuser3@gmail.com | Display Name: Loraine Little | Active: True | Staff: False | ID: e4eb59ce-f304-4ef5-a81a-8c887dc8ed1c
Email: testuser12@gmail.com | Display Name: Lurline Berge | Active: True | Staff: False | ID: 2f5d0abf-857c-4657-b0ef-996c336026b4
Email: testuser4@gmail.com | Display Name: Jewell Abernathy | Active: True | Staff: False | ID: 67d2b9f8-81d5-4b75-8542-9b790ae824e0
Email: testuser5@gmail.com | Display Name: Mariano Kemmer | Active: True | Staff: False | ID: dfb8aa24-9c2a-4595-8171-5b3639210532
Email: testuser6@gmail.com | Display Name: Karen Fritsch | Active: True | Staff: False | ID: adc71b90-72c9-4fe6-9719-8d147980bf65
Email: testuser7@gmail.com | Display Name: Evan Osinski | Active: True | Staff: False | ID: 94070fdb-fb81-4961-85a3-61b548f0c4f9
Email: testuser8@gmail.com | Display Name: Sim Lemke | Active: True | Staff: False | ID: 47c90ad1-8eaf-4c28-99f7-6f4a58e38e93
Email: testuser9@gmail.com | Display Name: Wilfred Kuhic | Active: True | Staff: False | ID: 4443ad7d-e039-4a8b-8c47-2202489aa499
Email: testuser10@gmail.com | Display Name: Esperanza Herzog | Active: True | Staff: False | ID: b77af7bf-9258-4c4a-a5b4-de04f5e0c8f6
Email: testuser11@gmail.com | Display Name: Georgianna Mitchell | Active: True | Staff: False | ID: 9f050137-42e0-4dec-8e43-7a1903d70636
Email: testuser13@gmail.com | Display Name: Michaela Weissnat | Active: True | Staff: False | ID: 9b01f3d5-5255-4570-a819-c784efa9a204
Email: testuser14@gmail.com | Display Name: Lucas Kuhlman | Active: True | Staff: False | ID: 098ed5bc-b790-46bd-9940-b124188142a0
Email: testuser15@gmail.com | Display Name: Troy Gibson | Active: True | Staff: False | ID: 41383d4f-2850-407a-b1b0-d394c1c1236a
Email: testuser16@gmail.com | Display Name: Reilly Kub | Active: True | Staff: False | ID: 5502b0b2-0b97-444b-8e24-bbea0dffb165
Email: testuser18@gmail.com | Display Name: Daniela Gerlach-Marquardt | Active: True | Staff: False | ID: 84cf1649-d866-4600-b8ca-f19d7ac4721f
Email: testuser17@gmail.com | Display Name: Arturo Macejkovic | Active: True | Staff: False | ID: 2bb7a0ce-0279-4583-8629-728b1f9124c7
Email: testuser19@gmail.com | Display Name: Sebastian Goyette | Active: True | Staff: False | ID: 90b21533-e0c0-4ca3-bb94-78bce0d45d00
Email: testuser20@gmail.com | Display Name: Bernardo Quigley-Kuphal | Active: True | Staff: False | ID: 73c85da3-802b-4b62-bad8-caacc436f89a
Email: testuser21@gmail.com | Display Name: Katelin Schultz | Active: True | Staff: False | ID: 406cdc22-1cbc-4dab-8f95-73b93cff74ab
Email: testuser22@gmail.com | Display Name: Daissy Williamson | Active: True | Staff: False | ID: 680fb4d5-bbc0-4ed8-af69-8472f12df70a
Email: testuser23@gmail.com | Display Name: Jaydon Cronin | Active: True | Staff: False | ID: 8370ab36-b00a-4af4-be8a-dbbb1cc50540
Email: testuser24@gmail.com | Display Name: Eveline Larson | Active: True | Staff: False | ID: 4ae185b3-f042-455d-b771-4e393c1d46af
Email: testuser25@gmail.com | Display Name: Clifford Willms | Active: True | Staff: False | ID: 06189bef-21b2-444e-adaa-f8b4a33449d4
Email: testuser26@gmail.com | Display Name:  | Active: True | Staff: False | ID: ac158bf8-ca59-40a1-a097-97aae4a4f580
Email: testuser27@gmail.com | Display Name: Martina Lindgren | Active: True | Staff: False | ID: 6ac95e1a-2d19-4d2f-9dd6-5d36ae7b5391
Email: testuser28@gmail.com | Display Name: Garfield Becker | Active: True | Staff: False | ID: 1b1086b3-381a-40a9-ae7c-8a43cbc68adb
Email: testuser29@gmail.com | Display Name:  | Active: True | Staff: False | ID: 0bcdccf6-8189-4f7d-ba1c-2a9e3fd1ab28
Email: testuser30@gmail.com | Display Name: Joanny Denesik | Active: True | Staff: False | ID: 30123d1e-38b0-4499-912a-4642cf91561e
Email: tester@example.com | Display Name: Tester | Active: True | Staff: False | ID: 4575978c-df50-40d0-aff1-c51f8bb85630
Email: testuser@example.com | Display Name: Test User | Active: True | Staff: False | ID: 022b45b9-0403-4bc1-abd2-9f03d2e70284
